name,park,country,score,status,manufacturer,construction,launch,restraint,type,opening_year,height,speed,length,inversions
Winja's Force,Phantasialand,Germany,74.1,Operating,Maurer,Steel,Vertical lift,Lap bar,NA,2002,55.7736,37.28226,1345.128,0
Revenge of the Mummy the Ride,Universal Studios Hollywood,United States,74.1,Operating,Premier Rides,NA,Magnetic Launch (LIM/LSM),Lap bar,NA,2004,45.9312,39.767744,1906.1448,0
Superman Ultimate Fight,Six Flags Discovery Kingdom,United States,73.7,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2012,147.636,59.651616,NA,1
GhostRider,Knott's Berry Farm,United States,73.4,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,1998,118.1088,55.92339,4534.0656,0
Colorado Adventure,Phantasialand,Germany,73.3,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Mine Train,1996,85.3008,31.06855,4199.424,0
Abismo,Parque de Atracciones de Madrid,Spain,73.3,Operating,Maurer,Steel,Chain lift hill,Lap bar,X Car,2006,150.9168,65.243955,1476.36,2
Nemesis Inferno,Thorpe Park,United Kingdom,73.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2003,95.1432,47.845567,2460.6,4
Big Thunder Mountain,Disneyland Park,France,73.2,Operating,Vekoma,Steel,Chain lift hill,Lap bar,"Mine Train, Family",1992,72.1776,37.28226,4921.2,0
Hydra the Revenge,Dorney Park,United States,73,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Looper,NA,95.1432,52.816535,3198.78,7
Fujiyama,Fuji-Q Highland,Japan,72.9,Operating,Togo,Steel,Chain lift hill,Lap bar,Hyper,1996,259.1832,80.77823,6709.236,0
Big Thunder Mountain,Tokyo Disneyland,Japan,72.4,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Mine Train,1987,NA,37.28226,NA,0
Steel Force,Dorney Park,United States,72.3,Operating,Morgan,Steel,Chain lift hill,Lap bar,Hyper,1997,200.1288,74.56452,5597.0448,0
Rita,Alton Towers,United Kingdom,71.9,Operating,Intamin,Steel,Hydraulic cable launch,Shoulder harness,Rocket,2005,68.8968,60.894358,2122.6776,0
The Wicker Man,Alton Towers,United Kingdom,71.8,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2018,72.1776,44.117341,2027.5344,0
Muntanya Russa,Tibidabo,Spain,71.8,Operating,Vekoma,Steel,Chain lift hill,Lap bar,NA,2008,82.02,49.70968,2427.792,0
Raging Bull,Six Flags Great America,United States,71.7,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,1999,203.4096,73.321778,5058.9936,0
Wicked Twister,Cedar Point,United States,71.5,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Shuttle,2002,206.6904,72.079036,NA,0
Valravn,Cedar Point,United States,71.5,Operating,B&M,Steel,Chain lift hill,Vest restraint,Dive,NA,223.0944,74.56452,3444.84,3
Dwervelwind,Toverland,Netherlands,71.3,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,2012,65.616,43.49597,1515.7296,0
Desert Race,Heide Park,Germany,71.3,Operating,Intamin,Steel,Hydraulic cable launch,Lap bar,Rocket,2007,62.3352,62.1371,2132.52,0
Winja's Fear,Phantasialand,Germany,71.3,Operating,Maurer,Steel,Vertical lift,Lap bar,NA,2002,55.7736,41.010486,1525.572,0
American Thunder,Six Flags St Louis,United States,71.2,Operating,GCI,Wooden,Chain lift hill,Lap bar,NA,2008,82.02,47.845567,2713.2216,0
Ukko,Linnanmäki,Finland,70.9,Operating,Maurer,Steel,Chain lift hill,Shoulder harness,X Car,2011,150.9168,65.243955,492.12,2
Juvelen,Djurs Sommerland,Denmark,70.8,Operating,Intamin,Steel,Tire propelled launch,Shoulder harness,Family Launch Coaster,2013,39.3696,52.816535,3280.8,0
Thunderhead,Dollywood,United States,70.7,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2004,101.7048,55.302019,3231.588,0
Gold Striker,California's Great America ,United States,70.6,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2013,108.2664,54.059277,3198.78,0
Giant Dipper,Santa Cruz Beach Boardwalk,United States,70.3,Operating,Unknown,Steel,Chain lift hill,Lap bar,NA,1924,68.8968,55.302019,2641.044,0
Batman The Ride,Six Flags Great Adventure,United States,70.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1993,104.9856,50.331051,2693.5368,5
Space Fantasy the Ride,Universal Studios Japan,Japan,69.7,Operating,Mack,Steel,NA,Lap bar,NA,2010,62.3352,NA,1919.268,0
Mind Bender,Six Flags Over Georgia,United States,69.6,Operating,Schwarzkopf,Steel,Chain lift hill,Shoulder harness,Looper,1978,82.02,50.331051,3254.5536,2
Boardwalk Bullet,Kemah Boardwalk,United States,69.4,Operating,Gravity Group,Wooden,Chain lift hill,Lap bar,Twister,2007,95.1432,50.952422,3234.8688,0
Mine Train Ulven,Bakken,Denmark,69.1,Operating,Intamin,Steel,Booster wheel lift hill,Lap bar,Mine Train,1997,62.3352,40.389115,NA,0
Batman: The Ride,Six Flags Fiesta Texas,United States,69.1,Operating,S&S,Steel,Chain lift hill,Shoulder harness,Free Spin,2015,118.1088,37.903631,1017.048,0
Batman The Ride,Six Flags Over Georgia,United States,69,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1997,104.9856,50.331051,2700.0984,5
Vertical Velocity,Six Flags Discovery Kingdom,United States,68.8,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Shuttle,2001,150.9168,65.243955,629.9136,1
Dragon's Fury,Chessington World of Adventures,United Kingdom,68.7,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2004,59.0544,NA,1771.632,0
Space Mountain,Disneyland,United States,68.6,Operating,Dynamic Attractions,Steel,Chain lift hill,Lap bar,Indoor,2005,75.4584,32.311292,3451.4016,0
Speed Monster,TusenFryd,Norway,68.4,Operating,Intamin,Steel,Hydraulic cable launch,Shoulder harness,Rocket,2006,131.232,55.92339,2263.752,3
Tempesto,Busch Gardens Williamsburg,United States,68.3,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,"Looper, Sky Rocket",2015,150.9168,62.1371,862.8504,1
Riddler's Revenge,Six Flags Magic Mountain,United States,68.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1998,154.1976,65.243955,4370.0256,6
Tarantula,Parque de Atracciones de Madrid,Spain,68.2,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2005,72.1776,42.253228,2066.904,0
Thirteen,Alton Towers,United Kingdom,68,Operating,Intamin,Steel,"Booster wheel lift hill, Vertical lift",Lap bar,Free Fall,NA,65.616,40.389115,2480.2848,0
Batwing,Six Flags America,United States,68,Operating,Vekoma,Steel,Chain lift hill,Flying restraint,NA,2001,114.828,50.331051,3339.8544,5
Vertical Velocity,Six Flags Great America,United States,67.9,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Shuttle,2001,183.7248,70.214923,629.9136,0
Joker,Six Flags Great America,United States,67.7,Operating,S&S,Steel,Chain lift hill,Shoulder harness,Free Spin,2017,121.3896,37.903631,1017.048,0
Firehawk,Kings Island,United States,67.6,Definitely closed,Vekoma,Steel,Chain lift hill,Flying restraint,NA,2007,114.828,50.331051,3339.8544,0
Seven Dwarfs Mine Train,Shanghaï Disneyland,China,67.5,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Family,NA,45.9312,31.06855,1909.4256,0
Steel Dragon 2000,Nagashima Spa Land,Japan,67.5,Operating,Morgan,Steel,Chain lift hill,Lap bar,Giga,2000,318.2376,95.069763,8133.1032,0
Steel Eel,SeaWorld San Antonio,United States,67.4,Operating,Morgan,Steel,Chain lift hill,Lap bar,Megacoaster,1999,150.9168,65.243955,3700.7424,0
Orkanen,Farup Sommerland,Denmark,67.4,Operating,Vekoma,NA,Booster wheel lift hill,Shoulder harness,NA,2013,62.3352,46.602825,1486.2024,0
Batman The Ride,Six Flags Great America,United States,67,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1992,101.7048,50.331051,2700.0984,5
"Hollywood Rip, Ride, Rockit",Universal Studios Florida,United States,66.8,Operating,Maurer,Steel,Chain lift hill,Lap bar,X Car,2009,167.3208,65.243955,NA,0
Kirnu,Linnanmäki,Finland,66.7,Operating,Intamin,Steel,Chain lift hill,Shoulder harness,ZacSpin,2007,85.3008,37.28226,465.8736,0
Wild West Mine Train,Ocean Park,China,66.7,Operating,Zamperla,Steel,NA,Lap bar,Mine Train,1999,68.8968,46.602825,2329.368,0
Lightning Racer (Thunder),Hersheypark,United States,66.7,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2000,88.5816,50.952422,3398.9088,0
Van Helsing's Factory,Movie Park Germany,Germany,66.6,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,"Bobsled, Indoor",2011,26.2464,22.369356,1312.32,0
Flight of the Pterosaur,Paultons Park,United Kingdom,66.3,Operating,Vekoma,NA,NA,None,NA,NA,65.616,NA,1295.916,0
Sky Wheel,Skyline Park,Germany,66.2,Operating,Maurer,Steel,Chain lift hill,Lap bar,X Car,2004,150.9168,65.243955,492.12,2
Big Thunder Mountain Railroad,Disney's Magic Kingdom,United States,66.2,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1980,NA,36.039518,2778.8376,0
Vampire,La Ronde,Canada,66.2,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2002,104.9856,50.331051,2700.0984,5
Joker's Jinx,Six Flags America,United States,66,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,1999,78.7392,59.651616,2703.3792,4
Goliath,Six Flags Magic Mountain,United States,65.8,Operating,Giovanola,Steel,Chain lift hill,Lap bar,Megacoaster,2000,232.9368,85.127827,4494.696,0
Lightning Racer (Lightning),Hersheypark,United States,65.7,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2000,88.5816,50.952422,3398.9088,0
Jetline,Gröna Lund,Sweden,65.7,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,NA,1988,104.9856,55.92339,2624.64,0
Joker,Six Flags Great Adventure,United States,65.7,Operating,S&S,Steel,Chain lift hill,Shoulder harness,Free Spin,2016,121.3896,37.903631,1020.3288,0
Thunder Loop,Attractiepark Slagharen,Netherlands,65.6,Relocated,Schwarzkopf,Steel,Chain lift hill,Lap bar,Looper,1979,78.7392,46.602825,1942.2336,1
Psyké underground,Walibi Belgium,Belgium,65.5,Operating,Schwarzkopf,Steel,Magnetic Launch (LIM/LSM),Lap bar,"Shuttle, Looper",1982,137.7936,52.816535,853.008,1
Magnum XL 200,Cedar Point,United States,65.5,Operating,Arrow,Steel,Chain lift hill,Lap bar,Hyper,1989,206.6904,72.079036,5104.9248,0
FireChaser Express,Dollywood,United States,65.4,Operating,Gerstlauer,Steel,"Chain lift hill, Tire propelled launch",Lap bar,Family,2014,NA,34.796776,2427.792,0
Big Thunder Mountain Railroad,Disneyland,United States,65.4,Operating,Walt Disney Imagineering,Steel,Chain lift hill,Lap bar,Mine Train,1979,NA,27.961695,2670.5712,0
Hollenblitz,Foire,N/A,65.3,Operating,EOS rides,Steel,Chain lift hill,Lap bar,NA,1992,59.0544,31.06855,2493.408,0
Superman : Escape from Krypton,Six Flags Magic Mountain,United States,65.3,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Lap bar,Shuttle,1997,413.3808,99.41936,1233.5808,0
Ultimate,Lightwater Valley,United Kingdom,65.2,Operating,Big Country Mitioneering,Steel,Chain lift hill,Lap bar,Mine Train,1991,157.4784,49.70968,7440.8544,0
Manta,SeaWorld San Diego,United States,65,Operating,Mack,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2012,29.5272,43.49597,2788.68,0
Batman : The dark Knight,Six Flags New England,United States,64.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2002,118.1088,55.302019,2601.6744,5
Joker,Six flags Over Texas,United States,64.6,Operating,S&S,Steel,Chain lift hill,Shoulder harness,Free Spin,2017,118.1088,37.903631,1017.048,0
The Boss,Six Flags St Louis,United States,64.5,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,2000,150.9168,65.865326,5052.432,0
Batman The Ride,Six Flags St Louis,United States,64.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1995,104.9856,50.331051,2693.5368,5
Montezooma's Revenge,Knott's Berry Farm,United States,64.2,Operating,Schwarzkopf,Steel,Hydraulic cable launch,Lap bar,Shuttle,1978,147.636,55.302019,800.5152,1
Space Mountain - Omega,Disney's Magic Kingdom,United States,64,Operating,Arrow,Steel,Chain lift hill,Lap bar,NA,1975,88.5816,27.340324,3195.4992,0
Die Vliegende Hollander,Efteling,Netherlands,64,Operating,Kumbak,Steel,Chain lift hill,Lap bar,NA,2007,75.4584,NA,1377.936,0
Space Mountain - Alpha,Disney's Magic Kingdom,United States,64,Operating,Arrow,Steel,Chain lift hill,Lap bar,NA,1975,88.5816,27.340324,3195.4992,0
Titan,Six flags Over Texas,United States,63.9,Operating,Giovanola,Steel,Chain lift hill,Lap bar,Hyper,2001,246.06,85.127827,5311.6152,0
Mystery Mine,Dollywood,United States,63.8,Operating,Gerstlauer,Steel,Chain lift hill,Shoulder harness,Euro-Fighter,2007,114.828,45.981454,1811.0016,2
Dragon Roller Coaster,Energylandia,Poland,63.8,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Family,NA,65.616,46.602825,1486.2024,0
Twister,Knoebels,United States,63.7,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1999,101.7048,51.573793,3900.8712,0
Batman the Ride,Six Flags Magic Mountain,United States,63.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1994,104.9856,49.70968,2700.0984,5
Scream!,Six Flags Magic Mountain,United States,63.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,Looper,NA,150.9168,62.758471,3986.172,7
Rock'n Roller Coaster starringAerosmith,Disney Hollywood Studios,United States,63,Operating,Vekoma,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Looper,1999,78.7392,59.651616,3369.3816,3
Le Twist,Le Pal,France,63,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,2011,72.1776,43.49597,1541.976,0
Flight of Fear,Kings Dominion,United States,62.9,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,"Looper, Indoor",1996,75.4584,54.059277,2706.66,4
Great White,SeaWorld San Antonio,United States,62.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1997,108.2664,50.331051,2562.3048,5
Tornado,Bakken,Denmark,62.3,Operating,Intamin,Steel,Chain lift hill,Lap bar,NA,2009,32.808,NA,984.24,0
Iron Shark,Galveston Island Historic Pleasure Pier,United States,62.2,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Euro-Fighter,2012,101.7048,52.195164,1246.704,1
Rougarou,Cedar Point,United States,62.1,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1996,144.3552,60.272987,3897.5904,4
Georgia Scorcher,Six Flags Over Georgia,United States,62,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1999,108.2664,54.059277,2998.6512,2
Takabisha,Fuji-Q Highland,Japan,61.9,Operating,Gerstlauer,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Euro-Fighter,2011,141.0744,62.1371,3280.8,7
Bat,Kings Island,United States,61.8,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,NA,1993,78.7392,50.952422,2349.0528,0
The Legend,Holiday World,United States,61.8,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,2000,114.828,57.787503,4041.9456,0
Freischütz,Bayern Park,Germany,61.8,Operating,Maurer,Steel,Magnetic Launch (LIM/LSM),Lap bar,Rocket,2011,78.7392,49.70968,1509.168,3
Shockwave,Six flags Over Texas,United States,61.5,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,Looper,1978,114.828,59.651616,3599.0376,2
Force One,Schwaben Park,Germany,61.4,Operating,Zierer,Steel,Chain lift hill,Lap bar,NA,2010,72.1776,52.816535,1738.824,0
Possessed,Dorney Park,United States,61.3,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Shuttle,2008,180.444,70.214923,705.372,0
Mammut,Tripsdrill,Germany,61.3,Operating,Cordes GmbH,Wooden,Chain lift hill,Lap bar,Twister,2008,98.424,55.92339,2821.488,0
Viper,Six Flags Great America,United States,61.1,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1995,101.7048,50.331051,3457.9632,0
Seven Dwarfs Mine Train,Disney's Magic Kingdom,United States,61.1,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Mine Train,2014,NA,NA,NA,0
Salama,Linnanmäki,Finland,60.8,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2008,55.7736,37.28226,1377.936,0
Speed,Oakwood,United Kingdom,60.8,Operating,Gerstlauer,Steel,Chain lift hill,Shoulder harness,Euro-Fighter,2006,114.828,59.030245,2001.288,2
Alpina Bahn,Foire,N/A,60.7,Operating,Schwarzkopf,Steel,Tire propelled launch,Lap bar,Looper,1983,88.5816,49.70968,2985.528,0
Superman - Ultimate Flight,Six Flags Over Georgia,United States,60.7,Operating,B&M,Steel,Chain lift hill,Flying restraint,NA,2002,104.9856,50.952422,2755.872,2
Polar X-plorer,Legoland Billund,Denmark,60.6,Operating,Zierer,Steel,Chain lift hill,Lap bar,Free Fall,NA,NA,NA,NA,0
Ultra Twister Megaton,Greenland,Japan,60.4,Operating,Togo,Steel,Cable lift hill,Shoulder harness,NA,1994,98.424,43.49597,1181.088,3
Half Pipe,Särkänniemi Amusement Park,Finland,60.1,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Lap bar,Shuttle,2003,98.424,43.49597,229.656,0
Prowler,Worlds of Fun,United States,60,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2009,101.7048,50.952422,3074.1096,0
Saw - The Ride,Thorpe Park,United Kingdom,59.9,Operating,Gerstlauer,Steel,Chain lift hill,Shoulder harness,Euro-Fighter,2009,101.7048,55.302019,2362.176,3
G'sengte Sau,Tripsdrill,Germany,59.7,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Bobsled,1998,52.4928,31.06855,1574.784,0
Insane,Gröna Lund,Sweden,59.7,Operating,Intamin,Steel,Electrical lift hill,Shoulder harness,ZacSpin,2009,118.1088,37.28226,820.2,0
Millennium Roller Coaster,Fantasy Island Ingoldmells,United Kingdom,59.6,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1999,150.9168,59.651616,NA,3
Journey to Atlantis,SeaWorld Orlando,United States,59.5,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,1998,NA,NA,NA,0
Timber Drop,Fraispertuis City,France,59.5,Operating,S&S,Steel,Chain lift hill,Shoulder harness,El Loco,2011,98.424,41.010486,1377.936,2
Goliath,Six Flags Fiesta Texas,United States,59.5,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,2008,104.9856,49.70968,2700.0984,5
Nighthawk• Carowinds,Carowinds,United States,59.4,Operating,Vekoma,Steel,Chain lift hill,Flying restraint,NA,2004,114.828,50.952422,2765.7144,5
Formule X,Drievliet Family Park,Netherlands,59,Operating,Maurer,Steel,Magnetic Launch (LIM/LSM),Lap bar,X Car,2007,49.212,43.49597,984.24,2
Switchback,ZDT's Amusement Park,United States,58.9,Operating,Gravity Group,Wooden,Chain lift hill,Lap bar,Shuttle,2015,65.616,41.010486,1197.492,0
Crush's Coaster,Walt Disney Studios,France,58.5,Operating,Maurer,Steel,Chain lift hill,Lap bar,Indoor,NA,52.4928,37.903631,1391.0592,0
Tiki Waka,Walibi Belgium,Belgium,58.3,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,"Bobsled, Family",2018,65.616,34.175405,1640.4,0
Cyclops,Mt. Olympus Water & Theme Park,United States,58.2,Operating,CCI,Steel,Chain lift hill,Lap bar,NA,1995,68.8968,57.787503,1899.5832,0
Formule 1,Parc Saint Paul,France,58.2,Operating,Pax,Steel,Chain lift hill,Lap bar,Wild Mouse,2005,49.212,NA,1246.704,0
Gemini (Blue),Cedar Point,United States,58,Operating,Arrow,Hybrid,Chain lift hill,Lap bar,NA,1978,124.6704,59.651616,3936.96,0
Cancan Coaster,Europa Park,Germany,57.8,Operating,Mack,Steel,Spiral lift,Lap bar,Family,NA,85.3008,37.28226,3024.8976,0
Vicky The Ride,Plopsa Coo,Belgium,57.4,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2011,55.7736,34.175405,1312.32,0
Batman the Ride,Six flags Over Texas,United States,57.3,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1999,104.9856,50.331051,2700.0984,5
Rock'n Roller Coaster avec Aerosmith,Walt Disney Studios,France,56.9,Operating,Vekoma,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,"Looper, Indoor",NA,78.7392,57.166132,3402.1896,3
Raptor Attack,Lightwater Valley,United Kingdom,56.8,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,NA,1987,49.212,40.389115,1837.248,0
Kanonen,Liseberg,Sweden,56.7,Definitely closed,Intamin,Steel,Hydraulic cable launch,Shoulder harness,Rocket,2005,78.7392,46.602825,1443.552,2
Kentucky Rumbler,Beech Bend,United States,56.5,Operating,GCI,Wooden,Chain lift hill,Lap bar,Twister,2006,88.5816,47.845567,2828.0496,0
Goliath,Six Flags New England,United States,56.5,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,Giant Inverted Boomerang,2012,190.2864,65.865326,1204.0536,3
Vilda Musen,Gröna Lund,Sweden,56.2,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Bobsled,2003,68.8968,34.175405,1410.744,0
Dragon Fly,Duinrell,Netherlands,55.9,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2012,49.212,NA,1181.088,0
Hyperspace Mountain,Hong Kong Disneyland,China,55.6,Operating,Vekoma,Steel,NA,Lap bar,NA,2005,101.7048,NA,3451.4016,0
Nessie Superrollercoaster,Hansa Park,Germany,55.5,Operating,Schwarzkopf,Steel,Chain lift hill,Lap bar,Looper,1979,85.3008,49.088309,2431.0728,1
Cobra,Paultons Park,United Kingdom,55.2,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Bobsled,2006,55.7736,31.06855,1476.36,0
American Eagle,Six Flags Great America,United States,55.2,Operating,Intamin,Wooden,Chain lift hill,Lap bar,Twister,1981,124.6704,65.865326,4648.8936,0
Cornball Express,Indiana Beach,United States,55,Operating,CCI,Wooden,Cable lift hill,Common lap bar,NA,2001,55.7736,44.738712,2099.712,0
Sierra Sidewinder,Knott's Berry Farm,United States,55,Operating,Mack,Steel,Chain lift hill,Lap bar,NA,2007,62.3352,37.28226,1410.744,0
Vuoristorata,Linnanmäki,Finland,55,Operating,Unknown,Wooden,Chain lift hill,Lap bar,Twister,1951,75.4584,37.28226,3149.568,0
Arthur,Europa Park,Germany,54.8,Operating,Mack,Steel,Electrical launch,Lap bar,"E-Powered, Dark Ride",NA,45.9312,19.262501,1656.804,0
Battlestar Galactica - HUMAN,Universal Studios Singapore,Singapore,54.6,Operating,Vekoma,Steel,Electrical lift hill,Shoulder harness,Looper,2010,NA,NA,NA,0
Drachenritt,Belantis,Germany,54.5,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Bobsled,2003,59.0544,43.49597,1640.4,0
SkyRider,Canada's Wonderland,Canada,54.5,Definitely closed,Togo,Steel,Chain lift hill,Shoulder harness,NA,1985,88.5816,50.952422,2207.9784,1
Thundercoaster,TusenFryd,Norway,54.3,Operating,Vekoma,Wooden,Chain lift hill,Lap bar,Twister,2001,104.9856,57.787503,3116.76,0
Joker,Six Flags New England,United States,54.1,Operating,S&S,Steel,Chain lift hill,Shoulder harness,Free Spin,2017,121.3896,37.903631,1017.048,0
Ultra Twister,Nagashima Spa Land,Japan,54,Operating,Togo,Steel,Chain lift hill,Shoulder harness,NA,NA,95.1432,44.117341,1377.936,3
Raik,Phantasialand,Germany,53.9,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,"Boomerang, Family",2016,82.02,38.525002,688.968,0
Megablitz,Wiener Prater,Austria,53.9,Operating,Vekoma,Steel,Chain lift hill,Lap bar,NA,1994,62.3352,43.49597,1804.44,0
Pandemonium,Six flags Over Texas,United States,53.4,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,NA,2008,52.4928,31.06855,1351.6896,0
Furius Baco,Port Aventura,Spain,53.3,Operating,Intamin,Steel,Hydraulic cable launch,Shoulder harness,NA,2007,45.9312,83.885085,2952.72,1
Rage,Adventure Island,United Kingdom,53.1,Operating,Gerstlauer,Steel,Chain lift hill,Shoulder harness,Euro-Fighter,2007,72.1776,43.49597,1184.3688,3
Vertigo,Walibi Belgium,Belgium,53,Definitely closed,Doppelmayr,Steel,Vertical lift,Lap bar,NA,2007,180.444,37.28226,2368.7376,0
Apocalypse,Six Flags Magic Mountain,United States,52.8,Temporarily closed,GCI,Wooden,Chain lift hill,Lap bar,Twister,2009,101.7048,55.302019,2851.0152,0
Loch Ness Monster,Busch Gardens Williamsburg,United States,52.7,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1978,127.9512,59.651616,3238.1496,2
MotoGee,Särkänniemi Amusement Park,Finland,52.7,Operating,Zamperla,Steel,Tire propelled launch,Lap bar,NA,2010,NA,42.253228,NA,0
Outlaw,Adventureland,United States,52.6,Operating,CCI,Wooden,Chain lift hill,Lap bar,Twister,1993,65.616,47.845567,2798.5224,0
Gold rush,OK Corral,France,52.6,Operating,Gerstlauer,Steel,Booster wheel lift hill,Lap bar,Shuttle,2012,NA,NA,NA,0
Falken,Farup Sommerland,Denmark,52.5,Operating,S&S,Steel,Chain lift hill,Lap bar,NA,2004,65.616,46.602825,2040.6576,0
Backlot Stunt Coaster,Kings Island,United States,52.4,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2005,NA,39.767744,NA,0
Velociraptor,Paultons Park,United Kingdom,52.3,Operating,Vekoma,"Boomerang, Family",NA,None,NA,NA,656.16,NA,65.616,0
Matterhorn Bobsleds (A),Disneyland,United States,52.2,Operating,Arrow,Steel,Chain lift hill,None,Bobsled,1959,78.7392,26.718953,2037.3768,0
Comet,Hersheypark,United States,52.1,Operating,Philadelphia Toboggan Coaster,Steel,Chain lift hill,Lap bar,NA,1946,85.3008,50.331051,3359.5392,0
Impulse,Knoebels,United States,52,Operating,Zierer,Steel,Chain lift hill,Lap bar,NA,2015,98.424,55.302019,1975.0416,4
Hyper Space Mountain,Disneyland Park,France,52,Operating,Vekoma,Steel,Hydraulic cable launch,Shoulder harness,"Looper, Indoor",1995,101.7048,43.49597,3280.8,3
Thunder Run,Kentucky Kingdom,United States,51.9,Operating,Dinn Corp.,Wooden,Chain lift hill,Lap bar,Twister,1990,88.5816,52.816535,2851.0152,0
Triops,Bagatelle,France,51.6,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Invertigo,2012,131.232,49.70968,1017.048,3
Shuttle Loop,Nagashima Spa Land,Japan,51.5,Operating,Schwarzkopf,Steel,NA,Lap bar,Shuttle,1980,134.5128,52.816535,853.008,1
TNT Tren de la Mina,Parque de Atracciones de Madrid,Spain,51.3,Operating,Gerstlauer,Steel,Chain lift hill,Lap bar,Mine Train,2012,55.7736,NA,1476.36,0
Back Lot Stunt Coaster,Canada's Wonderland,Canada,51.3,Operating,Premier Rides,Steel,Magnetic Launch (LIM/LSM),Lap bar,Family,2005,45.9312,39.767744,1958.6376,0
