name,park,country,score,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length
Winja's Force,Phantasialand,Germany,74.1,Operating,Maurer,Steel,Lap bar,2002,Vertical lift,NA,55.7736,0,37.28226,1345.128
Revenge of the Mummy the Ride,Universal Studios Hollywood,United States,74.1,Operating,Premier Rides,NA,Lap bar,2004,Magnetic Launch (LIM/LSM),NA,45.9312,0,39.767744,1906.1448
Superman Ultimate Fight,Six Flags Discovery Kingdom,United States,73.7,Operating,Premier Rides,Steel,Lap bar,2012,Magnetic Launch (LIM/LSM),NA,147.636,1,59.651616,NA
GhostRider,Knott's Berry Farm,United States,73.4,Operating,GCI,Wooden,Lap bar,1998,Chain lift hill,Twister,118.1088,0,55.92339,4534.0656
Colorado Adventure,Phantasialand,Germany,73.3,Operating,Vekoma,Steel,Lap bar,1996,Booster wheel lift hill,Mine Train,85.3008,0,31.06855,4199.424
Abismo,Parque de Atracciones de Madrid,Spain,73.3,Operating,Maurer,Steel,Lap bar,2006,Chain lift hill,X Car,150.9168,2,65.243955,1476.36
Nemesis Inferno,Thorpe Park,United Kingdom,73.2,Operating,B&M,Steel,Shoulder harness,2003,Chain lift hill,NA,95.1432,4,47.845567,2460.6
Big Thunder Mountain,Disneyland Park,France,73.2,Operating,Vekoma,Steel,Lap bar,1992,Chain lift hill,"Mine Train, Family",72.1776,0,37.28226,4921.2
Hydra the Revenge,Dorney Park,United States,73,Operating,B&M,Steel,Shoulder harness,NA,Chain lift hill,Looper,95.1432,7,52.816535,3198.78
Fujiyama,Fuji-Q Highland,Japan,72.9,Operating,Togo,Steel,Lap bar,1996,Chain lift hill,Hypercoaster,259.1832,0,80.77823,6709.236
Big Thunder Mountain,Tokyo Disneyland,Japan,72.4,Operating,Vekoma,Steel,Lap bar,1987,Chain lift hill,Mine Train,NA,0,37.28226,NA
Steel Force,Dorney Park,United States,72.3,Operating,Morgan,Steel,Lap bar,1997,Chain lift hill,Hyper,200.1288,0,74.56452,5597.0448
Rita,Alton Towers,United Kingdom,71.9,Operating,Intamin,Steel,Shoulder harness,2005,Hydraulic cable launch,Rocket,68.8968,0,60.894358,2122.6776
The Wicker Man,Alton Towers,United Kingdom,71.8,Operating,GCI,Wooden,Lap bar,2018,Chain lift hill,Twister,72.1776,0,44.117341,2027.5344
Muntanya Russa,Tibidabo,Spain,71.8,Operating,Vekoma,Steel,Lap bar,2008,Chain lift hill,NA,82.02,0,49.70968,2427.792
Raging Bull,Six Flags Great America,United States,71.7,Operating,B&M,Steel,Lap bar,1999,Chain lift hill,Hyper,203.4096,0,73.321778,5058.9936
Wicked Twister,Cedar Point,United States,71.5,Operating,Intamin,Steel,Shoulder harness,2002,Magnetic Launch (LIM/LSM),Shuttle,206.6904,0,72.079036,NA
Valravn,Cedar Point,United States,71.5,Operating,B&M,Steel,Vest restraint,NA,Chain lift hill,Dive,223.0944,3,74.56452,3444.84
Dwervelwind,Toverland,Netherlands,71.3,Operating,Mack,Steel,Lap bar,2012,Chain lift hill,NA,65.616,0,43.49597,1515.7296
Desert Race,Heide Park,Germany,71.3,Operating,Intamin,Steel,Lap bar,2007,Hydraulic cable launch,Rocket,62.3352,0,62.1371,2132.52
Winja's Fear,Phantasialand,Germany,71.3,Operating,Maurer,Steel,Lap bar,2002,Vertical lift,NA,55.7736,0,41.010486,1525.572
American Thunder,Six Flags St Louis,United States,71.2,Operating,GCI,Wooden,Lap bar,2008,Chain lift hill,NA,82.02,0,47.845567,2713.2216
Ukko,Linnanmäki,Finland,70.9,Operating,Maurer,Steel,Shoulder harness,2011,Chain lift hill,X Car,150.9168,2,65.243955,492.12
Juvelen,Djurs Sommerland,Denmark,70.8,Operating,Intamin,Steel,Shoulder harness,2013,Tire propelled launch,Family Launch Coaster,39.3696,0,52.816535,3280.8
Thunderhead,Dollywood,United States,70.7,Operating,GCI,Wooden,Lap bar,2004,Chain lift hill,Twister,101.7048,0,55.302019,3231.588
Gold Striker,California's Great America,United States,70.6,Operating,GCI,Wooden,Lap bar,2013,Chain lift hill,Twister,108.2664,0,54.059277,3198.78
Giant Dipper,Santa Cruz Beach Boardwalk,United States,70.3,Operating,Unknown,Steel,Lap bar,1924,Chain lift hill,NA,68.8968,0,55.302019,2641.044
Batman The Ride,Six Flags Great Adventure,United States,70.1,Operating,B&M,Steel,Shoulder harness,1993,Chain lift hill,NA,104.9856,5,50.331051,2693.5368
Space Fantasy the Ride,Universal Studios Japan,Japan,69.7,Operating,Mack,Steel,Lap bar,2010,NA,NA,62.3352,0,NA,1919.268
Mind Bender,Six Flags Over Georgia,United States,69.6,Operating,Schwarzkopf,Steel,Shoulder harness,1978,Chain lift hill,Looper,82.02,2,50.331051,3254.5536
Boardwalk Bullet,Kemah Boardwalk,United States,69.4,Operating,Gravity Group,Wooden,Lap bar,2007,Chain lift hill,Twister,95.1432,0,50.952422,3234.8688
Mine Train Ulven,Bakken,Denmark,69.1,Operating,Intamin,Steel,Lap bar,1997,Booster wheel lift hill,Mine Train,62.3352,0,40.389115,NA
Batman: The Ride,Six Flags Fiesta Texas,United States,69.1,Operating,S&S,Steel,Shoulder harness,2015,Chain lift hill,Free Spin,118.1088,0,37.903631,1017.048
Batman The Ride,Six Flags Over Georgia,United States,69,Operating,B&M,Steel,Shoulder harness,1997,Chain lift hill,NA,104.9856,5,50.331051,2700.0984
Vertical Velocity,Six Flags Discovery Kingdom,United States,68.8,Operating,Intamin,Steel,Shoulder harness,2001,Magnetic Launch (LIM/LSM),Shuttle,150.9168,1,65.243955,629.9136
Dragon's Fury,Chessington World of Adventures,United Kingdom,68.7,Operating,Maurer,Steel,Lap bar,2004,Chain lift hill,NA,59.0544,0,NA,1771.632
Space Mountain,Disneyland,United States,68.6,Operating,Dynamic Attractions,Steel,Lap bar,2005,Chain lift hill,Indoor,75.4584,0,32.311292,3451.4016
Speed Monster,TusenFryd,Norway,68.4,Operating,Intamin,Steel,Shoulder harness,2006,Hydraulic cable launch,Rocket,131.232,3,55.92339,2263.752
Tempesto,Busch Gardens Williamsburg,United States,68.3,Operating,Premier Rides,Steel,Lap bar,2015,Magnetic Launch (LIM/LSM),Launched Looping,150.9168,1,62.1371,862.8504
Riddler's Revenge,Six Flags Magic Mountain,United States,68.2,Operating,B&M,Steel,Shoulder harness,1998,Chain lift hill,NA,154.1976,6,65.243955,4370.0256
Tarantula,Parque de Atracciones de Madrid,Spain,68.2,Operating,Maurer,Steel,Lap bar,2005,Chain lift hill,NA,72.1776,0,42.253228,2066.904
Thirteen,Alton Towers,United Kingdom,68,Operating,Intamin,Steel,Lap bar,NA,"Booster wheel lift hill, Vertical lift",Free Fall,65.616,0,40.389115,2480.2848
Batwing,Six Flags America,United States,68,Operating,Vekoma,Steel,Flying restraint,2001,Chain lift hill,NA,114.828,5,50.331051,3339.8544
Vertical Velocity,Six Flags Great America,United States,67.9,Operating,Intamin,Steel,Shoulder harness,2001,Magnetic Launch (LIM/LSM),Shuttle,183.7248,0,70.214923,629.9136
Joker,Six Flags Great America,United States,67.7,Operating,S&S,Steel,Shoulder harness,2017,Chain lift hill,Free Spin,121.3896,0,37.903631,1017.048
Firehawk,Kings Island,United States,67.6,Definitely closed,Vekoma,Steel,Flying restraint,2007,Chain lift hill,Flying Dutchman,114.828,0,50.331051,3339.8544
Seven Dwarfs Mine Train,Shanghaï Disneyland,China,67.5,Operating,Vekoma,Steel,Lap bar,NA,Chain lift hill,Family,45.9312,0,31.06855,1909.4256
Steel Dragon 2000,Nagashima Spa Land,Japan,67.5,Operating,Morgan,Steel,Lap bar,2e3,Chain lift hill,Giga,318.2376,0,95.069763,8133.1032
Steel Eel,SeaWorld San Antonio,United States,67.4,Operating,Morgan,Steel,Lap bar,1999,Chain lift hill,Megacoaster,150.9168,0,65.243955,3700.7424
Orkanen,Farup Sommerland,Denmark,67.4,Operating,Vekoma,NA,Shoulder harness,2013,Booster wheel lift hill,NA,62.3352,0,46.602825,1486.2024
Batman The Ride,Six Flags Great America,United States,67,Operating,B&M,Steel,Shoulder harness,1992,Chain lift hill,NA,101.7048,5,50.331051,2700.0984
"Hollywood Rip, Ride, Rockit",Universal Studios Florida,United States,66.8,Operating,Maurer,Steel,Lap bar,2009,Chain lift hill,X Car,167.3208,0,65.243955,NA
Kirnu,Linnanmäki,Finland,66.7,Operating,Intamin,Steel,Shoulder harness,2007,Chain lift hill,ZacSpin,85.3008,0,37.28226,465.8736
Wild West Mine Train,Ocean Park,China,66.7,Operating,Zamperla,Steel,Lap bar,1999,NA,Mine Train,68.8968,0,46.602825,2329.368
Lightning Racer (Thunder),Hersheypark,United States,66.7,Operating,GCI,Wooden,Lap bar,2e3,Chain lift hill,Twister,88.5816,0,50.952422,3398.9088
Van Helsing's Factory,Movie Park Germany,Germany,66.6,Operating,Gerstlauer,Steel,Lap bar,2011,Chain lift hill,Indoor,26.2464,0,22.369356,1312.32
Flight of the Pterosaur,Paultons Park,United Kingdom,66.3,Operating,Vekoma,NA,None,NA,NA,NA,65.616,0,NA,1295.916
Sky Wheel,Skyline Park,Germany,66.2,Operating,Maurer,Steel,Lap bar,2004,Chain lift hill,X Car,150.9168,2,65.243955,492.12
Big Thunder Mountain Railroad,Disney's Magic Kingdom,United States,66.2,Operating,Arrow,Steel,Lap bar,1980,Chain lift hill,Mine Train,NA,0,36.039518,2778.8376
Vampire,La Ronde,Canada,66.2,Operating,B&M,Steel,Shoulder harness,2002,Chain lift hill,NA,104.9856,5,50.331051,2700.0984
Joker's Jinx,Six Flags America,United States,66,Operating,Premier Rides,Steel,Lap bar,1999,Magnetic Launch (LIM/LSM),Launched Multielement,78.7392,4,59.651616,2703.3792
Goliath,Six Flags Magic Mountain,United States,65.8,Operating,Giovanola,Steel,Lap bar,2e3,Chain lift hill,Hypercoaster,232.9368,0,85.127827,4494.696
Lightning Racer (Lightning),Hersheypark,United States,65.7,Operating,GCI,Wooden,Lap bar,2e3,Chain lift hill,Twister,88.5816,0,50.952422,3398.9088
Jetline,Gröna Lund,Sweden,65.7,Operating,Schwarzkopf,Steel,Lap bar,1988,Chain lift hill,Freeform,104.9856,0,55.92339,2624.64
Joker,Six Flags Great Adventure,United States,65.7,Operating,S&S,Steel,Shoulder harness,2016,Chain lift hill,Free Spin,121.3896,0,37.903631,1020.3288
Thunder Loop,Attractiepark Slagharen,Netherlands,65.6,Relocated,Schwarzkopf,Steel,Lap bar,1979,Chain lift hill,Looper,78.7392,1,46.602825,1942.2336
Psyké underground,Walibi Belgium,Belgium,65.5,Operating,Schwarzkopf,Steel,Lap bar,1982,Magnetic Launch (LIM/LSM),"Shuttle, Looper",137.7936,1,52.816535,853.008
Magnum XL 200,Cedar Point,United States,65.5,Operating,Arrow,Steel,Lap bar,1989,Chain lift hill,Hyper,206.6904,0,72.079036,5104.9248
FireChaser Express,Dollywood,United States,65.4,Operating,Gerstlauer,Steel,Lap bar,2014,"Chain lift hill, Tire propelled launch","Launched, Family",NA,0,34.796776,2427.792
Big Thunder Mountain Railroad,Disneyland,United States,65.4,Operating,Walt Disney Imagineering,Steel,Lap bar,1979,Chain lift hill,Mine Train,NA,0,27.961695,2670.5712
Hollenblitz,Foire,N/A,65.3,Operating,EOS rides,Steel,Lap bar,1992,Chain lift hill,NA,59.0544,0,31.06855,2493.408
Superman : Escape from Krypton,Six Flags Magic Mountain,United States,65.3,Operating,Intamin,Steel,Lap bar,1997,Magnetic Launch (LIM/LSM),Shuttle,413.3808,0,99.41936,1233.5808
Ultimate,Lightwater Valley,United Kingdom,65.2,Operating,Big Country Mitioneering,Steel,Lap bar,1991,Chain lift hill,Mine Train,157.4784,0,49.70968,7440.8544
Manta,SeaWorld San Diego,United States,65,Operating,Mack,Steel,Lap bar,2012,Magnetic Launch (LIM/LSM),Launched,29.5272,0,43.49597,2788.68
Batman : The dark Knight,Six Flags New England,United States,64.9,Operating,B&M,Steel,Shoulder harness,2002,Chain lift hill,NA,118.1088,5,55.302019,2601.6744
Joker,Six flags Over Texas,United States,64.6,Operating,S&S,Steel,Shoulder harness,2017,Chain lift hill,Free Spin,118.1088,0,37.903631,1017.048
The Boss,Six Flags St Louis,United States,64.5,Operating,CCI,Wooden,Lap bar,2e3,Chain lift hill,Twister,150.9168,0,65.865326,5052.432
Batman The Ride,Six Flags St Louis,United States,64.3,Operating,B&M,Steel,Shoulder harness,1995,Chain lift hill,NA,104.9856,5,50.331051,2693.5368
Montezooma's Revenge,Knott's Berry Farm,United States,64.2,Operating,Schwarzkopf,Steel,Lap bar,1978,Hydraulic cable launch,Shuttle Loop,147.636,1,55.302019,800.5152
Space Mountain - Omega,Disney's Magic Kingdom,United States,64,Operating,Arrow,Steel,Lap bar,1975,Chain lift hill,NA,88.5816,0,27.340324,3195.4992
Die Vliegende Hollander,Efteling,Netherlands,64,Operating,Kumbak,Steel,Lap bar,2007,Chain lift hill,NA,75.4584,0,NA,1377.936
Space Mountain - Alpha,Disney's Magic Kingdom,United States,64,Operating,Arrow,Steel,Lap bar,1975,Chain lift hill,NA,88.5816,0,27.340324,3195.4992
Titan,Six flags Over Texas,United States,63.9,Operating,Giovanola,Steel,Lap bar,2001,Chain lift hill,Hyper,246.06,0,85.127827,5311.6152
Mystery Mine,Dollywood,United States,63.8,Operating,Gerstlauer,Steel,Shoulder harness,2007,Chain lift hill,Euro-Fighter,114.828,2,45.981454,1811.0016
Dragon Roller Coaster,Energylandia,Poland,63.8,Operating,Vekoma,Steel,Lap bar,NA,Booster wheel lift hill,Family,65.616,0,46.602825,1486.2024
Twister,Knoebels,United States,63.7,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1999,Chain lift hill,Twister,101.7048,0,51.573793,3900.8712
Batman the Ride,Six Flags Magic Mountain,United States,63.3,Operating,B&M,Steel,Shoulder harness,1994,Chain lift hill,NA,104.9856,5,49.70968,2700.0984
Scream!,Six Flags Magic Mountain,United States,63.1,Operating,B&M,Steel,Shoulder harness,NA,Chain lift hill,Looper,150.9168,7,62.758471,3986.172
Rock'n Roller Coaster starringAerosmith,Disney Hollywood Studios,United States,63,Operating,Vekoma,Steel,Shoulder harness,1999,Magnetic Launch (LIM/LSM),Looper,78.7392,3,59.651616,3369.3816
Le Twist,Le Pal,France,63,Operating,Mack,Steel,Lap bar,2011,Chain lift hill,NA,72.1776,0,43.49597,1541.976
Flight of Fear,Kings Dominion,United States,62.9,Operating,Premier Rides,Steel,Lap bar,1996,Magnetic Launch (LIM/LSM),Indoor Launched Multielement,75.4584,4,54.059277,2706.66
Great White,SeaWorld San Antonio,United States,62.3,Operating,B&M,Steel,Shoulder harness,1997,Chain lift hill,NA,108.2664,5,50.331051,2562.3048
Tornado,Bakken,Denmark,62.3,Operating,Intamin,Steel,Lap bar,2009,Chain lift hill,NA,32.808,0,NA,984.24
Iron Shark,Galveston Island Historic Pleasure Pier,United States,62.2,Operating,Gerstlauer,Steel,Lap bar,2012,Chain lift hill,Euro-Fighter,101.7048,1,52.195164,1246.704
Rougarou,Cedar Point,United States,62.1,Operating,B&M,Steel,Shoulder harness,1996,Chain lift hill,NA,144.3552,4,60.272987,3897.5904
Georgia Scorcher,Six Flags Over Georgia,United States,62,Operating,B&M,Steel,Shoulder harness,1999,Chain lift hill,NA,108.2664,2,54.059277,2998.6512
Takabisha,Fuji-Q Highland,Japan,61.9,Operating,Gerstlauer,Steel,Shoulder harness,2011,Magnetic Launch (LIM/LSM),Euro-Fighter,141.0744,7,62.1371,3280.8
Bat,Kings Island,United States,61.8,Operating,Arrow,Steel,Shoulder harness,1993,Chain lift hill,NA,78.7392,0,50.952422,2349.0528
The Legend,Holiday World,United States,61.8,Operating,CCI,Wooden,Lap bar,2e3,Chain lift hill,Twister,114.828,0,57.787503,4041.9456
Freischütz,Bayern Park,Germany,61.8,Operating,Maurer,Steel,Lap bar,2011,Magnetic Launch (LIM/LSM),Rocket,78.7392,3,49.70968,1509.168
Shockwave,Six flags Over Texas,United States,61.5,Operating,Schwarzkopf,Steel,Lap bar,1978,Chain lift hill,Looper,114.828,2,59.651616,3599.0376
Force One,Schwaben Park,Germany,61.4,Operating,Zierer,Steel,Lap bar,2010,Chain lift hill,NA,72.1776,0,52.816535,1738.824
Possessed,Dorney Park,United States,61.3,Operating,Intamin,Steel,Shoulder harness,2008,Magnetic Launch (LIM/LSM),Shuttle,180.444,0,70.214923,705.372
Mammut,Tripsdrill,Germany,61.3,Operating,Cordes GmbH,Wooden,Lap bar,2008,Chain lift hill,Twister,98.424,0,55.92339,2821.488
Viper,Six Flags Great America,United States,61.1,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1995,Chain lift hill,Twister,101.7048,0,50.331051,3457.9632
Seven Dwarfs Mine Train,Disney's Magic Kingdom,United States,61.1,Operating,Vekoma,Steel,Lap bar,2014,Chain lift hill,Mine Train,NA,0,NA,NA
Salama,Linnanmäki,Finland,60.8,Operating,Maurer,Steel,Lap bar,2008,Chain lift hill,NA,55.7736,0,37.28226,1377.936
Speed,Oakwood,United Kingdom,60.8,Operating,Gerstlauer,Steel,Shoulder harness,2006,Chain lift hill,Euro-Fighter,114.828,2,59.030245,2001.288
Alpina Bahn,Foire,N/A,60.7,Operating,Schwarzkopf,Steel,Lap bar,1983,Tire propelled launch,Looper,88.5816,0,49.70968,2985.528
Superman - Ultimate Flight,Six Flags Over Georgia,United States,60.7,Operating,B&M,Steel,Flying restraint,2002,Chain lift hill,NA,104.9856,2,50.952422,2755.872
Polar X-plorer,Legoland Billund,Denmark,60.6,Operating,Zierer,Steel,Lap bar,NA,Chain lift hill,Free Fall,NA,0,NA,NA
Ultra Twister Megaton,Greenland,Japan,60.4,Operating,Togo,Steel,Shoulder harness,1994,Cable lift hill,NA,98.424,3,43.49597,1181.088
Half Pipe,Särkänniemi Amusement Park,Finland,60.1,Operating,Intamin,Steel,Lap bar,2003,Magnetic Launch (LIM/LSM),Shuttle,98.424,0,43.49597,229.656
Prowler,Worlds of Fun,United States,60,Operating,GCI,Wooden,Lap bar,2009,Chain lift hill,Twister,101.7048,0,50.952422,3074.1096
Saw - The Ride,Thorpe Park,United Kingdom,59.9,Operating,Gerstlauer,Steel,Shoulder harness,2009,Chain lift hill,Euro-Fighter,101.7048,3,55.302019,2362.176
G'sengte Sau,Tripsdrill,Germany,59.7,Operating,Gerstlauer,Steel,Lap bar,1998,Chain lift hill,Bobsled,52.4928,0,31.06855,1574.784
Insane,Gröna Lund,Sweden,59.7,Operating,Intamin,Steel,Shoulder harness,2009,Electrical lift hill,"4th Dimension, ZacSpin",118.1088,0,37.28226,820.2
Millennium Roller Coaster,Fantasy Island Ingoldmells,United Kingdom,59.6,Operating,Vekoma,Steel,Shoulder harness,1999,Chain lift hill,Looper,150.9168,3,59.651616,NA
Journey to Atlantis,SeaWorld Orlando,United States,59.5,Operating,Mack,Steel,Lap bar,1998,Chain lift hill,Water Coaster,NA,0,NA,NA
Timber Drop,Fraispertuis City,France,59.5,Operating,S&S,Steel,Shoulder harness,2011,Chain lift hill,El Loco,98.424,2,41.010486,1377.936
Goliath,Six Flags Fiesta Texas,United States,59.5,Operating,B&M,Steel,Shoulder harness,2008,Chain lift hill,NA,104.9856,5,49.70968,2700.0984
Nighthawk• Carowinds,Carowinds,United States,59.4,Operating,Vekoma,Steel,Flying restraint,2004,Chain lift hill,NA,114.828,5,50.952422,2765.7144
Formule X,Drievliet Family Park,Netherlands,59,Operating,Maurer,Steel,Lap bar,2007,Magnetic Launch (LIM/LSM),X Car,49.212,2,43.49597,984.24
Switchback,ZDT's Amusement Park,United States,58.9,Operating,Gravity Group,Wooden,Lap bar,2015,Chain lift hill,Shuttle,65.616,0,41.010486,1197.492
Crush's Coaster,Walt Disney Studios,France,58.5,Operating,Maurer,Steel,Lap bar,NA,Chain lift hill,Indoor,52.4928,0,37.903631,1391.0592
Tiki Waka,Walibi Belgium,Belgium,58.3,Operating,Gerstlauer,Steel,Lap bar,2018,Chain lift hill,"Bobsled, Family",65.616,0,34.175405,1640.4
Cyclops,Mt. Olympus Water & Theme Park,United States,58.2,Operating,CCI,Steel,Lap bar,1995,Chain lift hill,NA,68.8968,0,57.787503,1899.5832
Formule 1,Parc Saint Paul,France,58.2,Operating,Pax,Steel,Lap bar,2005,Chain lift hill,Wild Mouse,49.212,0,NA,1246.704
Gemini (Blue),Cedar Point,United States,58,Operating,Arrow,Hybrid,Lap bar,1978,Chain lift hill,NA,124.6704,0,59.651616,3936.96
Cancan Coaster,Europa Park,Germany,57.8,Operating,Mack,Steel,Lap bar,NA,Spiral lift,Family,85.3008,0,37.28226,3024.8976
Vicky The Ride,Plopsa Coo,Belgium,57.4,Operating,Gerstlauer,Steel,Lap bar,2011,Chain lift hill,NA,55.7736,0,34.175405,1312.32
Batman the Ride,Six flags Over Texas,United States,57.3,Operating,B&M,Steel,Shoulder harness,1999,Chain lift hill,NA,104.9856,5,50.331051,2700.0984
Rock'n Roller Coaster avec Aerosmith,Walt Disney Studios,France,56.9,Operating,Vekoma,Steel,Shoulder harness,NA,Magnetic Launch (LIM/LSM),"Looper, Indoor",78.7392,3,57.166132,3402.1896
Raptor Attack,Lightwater Valley,United Kingdom,56.8,Operating,Schwarzkopf,Steel,Lap bar,1987,Chain lift hill,NA,49.212,0,40.389115,1837.248
Kanonen,Liseberg,Sweden,56.7,Definitely closed,Intamin,Steel,Shoulder harness,2005,Hydraulic cable launch,Rocket,78.7392,2,46.602825,1443.552
Kentucky Rumbler,Beech Bend,United States,56.5,Operating,GCI,Wooden,Lap bar,2006,Chain lift hill,Twister,88.5816,0,47.845567,2828.0496
Goliath,Six Flags New England,United States,56.5,Operating,Vekoma,Steel,Shoulder harness,2012,Cable lift hill,Multielement Inverted Shuttle,190.2864,3,65.865326,1204.0536
Vilda Musen,Gröna Lund,Sweden,56.2,Operating,Gerstlauer,Steel,Lap bar,2003,Chain lift hill,Bobsled,68.8968,0,34.175405,1410.744
Dragon Fly,Duinrell,Netherlands,55.9,Operating,Gerstlauer,Steel,Lap bar,2012,Chain lift hill,NA,49.212,0,NA,1181.088
Hyperspace Mountain,Hong Kong Disneyland,China,55.6,Operating,Vekoma,Steel,Lap bar,2005,NA,NA,101.7048,0,NA,3451.4016
Nessie Superrollercoaster,Hansa Park,Germany,55.5,Operating,Schwarzkopf,Steel,Lap bar,1979,Chain lift hill,Looper,85.3008,1,49.088309,2431.0728
Cobra,Paultons Park,United Kingdom,55.2,Operating,Gerstlauer,Steel,Lap bar,2006,Chain lift hill,Bobsled,55.7736,0,31.06855,1476.36
American Eagle,Six Flags Great America,United States,55.2,Operating,Intamin,Wooden,Lap bar,1981,Chain lift hill,Twister,124.6704,0,65.865326,4648.8936
Cornball Express,Indiana Beach,United States,55,Operating,CCI,Wooden,Common lap bar,2001,Cable lift hill,NA,55.7736,0,44.738712,2099.712
Sierra Sidewinder,Knott's Berry Farm,United States,55,Operating,Mack,Steel,Lap bar,2007,Chain lift hill,Spinning Freeform,62.3352,0,37.28226,1410.744
Vuoristorata,Linnanmäki,Finland,55,Operating,Unknown,Wooden,Lap bar,1951,Chain lift hill,Twister,75.4584,0,37.28226,3149.568
Arthur,Europa Park,Germany,54.8,Operating,Mack,Steel,Lap bar,NA,Electrical launch,"E-Powered, Dark Ride",45.9312,0,19.262501,1656.804
Battlestar Galactica - HUMAN,Universal Studios Singapore,Singapore,54.6,Operating,Vekoma,Steel,Shoulder harness,2010,Electrical lift hill,Looper,NA,0,NA,NA
Drachenritt,Belantis,Germany,54.5,Operating,Gerstlauer,Steel,Lap bar,2003,Chain lift hill,Bobsled,59.0544,0,43.49597,1640.4
SkyRider,Canada's Wonderland,Canada,54.5,Definitely closed,Togo,Steel,Shoulder harness,1985,Chain lift hill,NA,88.5816,1,50.952422,2207.9784
Thundercoaster,TusenFryd,Norway,54.3,Operating,Vekoma,Wooden,Lap bar,2001,Chain lift hill,Twister,104.9856,0,57.787503,3116.76
Joker,Six Flags New England,United States,54.1,Operating,S&S,Steel,Shoulder harness,2017,Chain lift hill,Free Spin,121.3896,0,37.903631,1017.048
Ultra Twister,Nagashima Spa Land,Japan,54,Operating,Togo,Steel,Shoulder harness,NA,Chain lift hill,NA,95.1432,3,44.117341,1377.936
Raik,Phantasialand,Germany,53.9,Operating,Vekoma,Steel,Lap bar,2016,Booster wheel lift hill,"Boomerang, Family",82.02,0,38.525002,688.968
Megablitz,Wiener Prater,Austria,53.9,Operating,Vekoma,Steel,Lap bar,1994,Chain lift hill,Triple Out and Back,62.3352,0,43.49597,1804.44
Pandemonium,Six flags Over Texas,United States,53.4,Operating,Gerstlauer,Steel,Lap bar,2008,Chain lift hill,NA,52.4928,0,31.06855,1351.6896
Furius Baco,Port Aventura,Spain,53.3,Operating,Intamin,Steel,Shoulder harness,2007,Hydraulic cable launch,NA,45.9312,1,83.885085,2952.72
Rage,Adventure Island,United Kingdom,53.1,Operating,Gerstlauer,Steel,Shoulder harness,2007,Chain lift hill,Euro-Fighter,72.1776,3,43.49597,1184.3688
Vertigo,Walibi Belgium,Belgium,53,Definitely closed,Doppelmayr,Steel,Lap bar,2007,Vertical lift,Suspended Glider,180.444,0,37.28226,2368.7376
Apocalypse,Six Flags Magic Mountain,United States,52.8,Temporarily closed,GCI,Wooden,Lap bar,2009,Chain lift hill,Twister,101.7048,0,55.302019,2851.0152
Loch Ness Monster,Busch Gardens Williamsburg,United States,52.7,Operating,Arrow,Steel,Shoulder harness,1978,Chain lift hill,Looper,127.9512,2,59.651616,3238.1496
MotoGee,Särkänniemi Amusement Park,Finland,52.7,Operating,Zamperla,Steel,Lap bar,2010,Tire propelled launch,NA,NA,0,42.253228,NA
Outlaw,Adventureland,United States,52.6,Operating,CCI,Wooden,Lap bar,1993,Chain lift hill,Twister,65.616,0,47.845567,2798.5224
Gold rush,OK Corral,France,52.6,Operating,Gerstlauer,Steel,Lap bar,2012,Booster wheel lift hill,Shuttle,NA,0,NA,NA
Falken,Farup Sommerland,Denmark,52.5,Operating,S&S,Steel,Lap bar,2004,Chain lift hill,NA,65.616,0,46.602825,2040.6576
Backlot Stunt Coaster,Kings Island,United States,52.4,Operating,Premier Rides,Steel,Lap bar,2005,Magnetic Launch (LIM/LSM),Launched Freeform,45,0,39.767744,NA
Velociraptor,Paultons Park,United Kingdom,52.3,Operating,Vekoma,"Boomerang, Family",None,NA,NA,NA,656.16,0,NA,65.616
Matterhorn Bobsleds (A),Disneyland,United States,52.2,Operating,Arrow,Steel,None,1959,Chain lift hill,Bobsled,78.7392,0,26.718953,2037.3768
Comet,Hersheypark,United States,52.1,Operating,Philadelphia Toboggan Coaster,Steel,Lap bar,1946,Chain lift hill,NA,85.3008,0,50.331051,3359.5392
Impulse,Knoebels,United States,52,Operating,Zierer,Steel,Lap bar,2015,Chain lift hill,NA,98.424,4,55.302019,1975.0416
Hyper Space Mountain,Disneyland Park,France,52,Operating,Vekoma,Steel,Shoulder harness,1995,Hydraulic cable launch,"Looper, Indoor",101.7048,3,43.49597,3280.8
Thunder Run,Kentucky Kingdom,United States,51.9,Operating,Dinn Corp.,Wooden,Lap bar,1990,Chain lift hill,Twister,88.5816,0,52.816535,2851.0152
Triops,Bagatelle,France,51.6,Operating,Vekoma,Steel,Shoulder harness,2012,Chain lift hill,Invertigo,131.232,3,49.70968,1017.048
Shuttle Loop,Nagashima Spa Land,Japan,51.5,Operating,Schwarzkopf,Steel,Lap bar,1980,Flywheel,Shuttle Loop,134.5128,1,52.816535,853.008
TNT Tren de la Mina,Parque de Atracciones de Madrid,Spain,51.3,Operating,Gerstlauer,Steel,Lap bar,2012,Chain lift hill,Mine Train,55.7736,0,NA,1476.36
